@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,
@-header,compilationTime_!_ 2018:11:24:14:13:22,,,,,,
@-header,columnCount_!_ 8,,,,,,
@-header,maximumScore_!_ 100,,,,,,
@-header,fileType_!_ results,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,
@-header,courseId_!_ 23,,,,,,
@-header,courseName_!_ MMed in General Surgery,,,,,,
@-header,year_!_ 3,,,,,,
@-header,semester_!_ 2,,,,,,
@-header,batchId_!_ 5,,,,,,
@-header,batchName_!_ 2013/2014,,,,,,
@-header,flags_!_ 0,,,,,,
,,,,,,,
,,,,,,1153,1154
Ref,GPA,Reg Number,Flags,Details,res,ESAT 5,Dissertation 
113,,TUMA/KCMUCo/MMED.SUR/2017/2018/0397,65,,,64,79
220,,TUMA/KCMUCo/MMED.SUR/2017/2018/0398,65,,,71,76
