@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,
@-header,compilationTime_!_ 2016:08:02:08:28:10,,,,,,,,,,,,
@-header,columnCount_!_ 14,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,
@-header,courseId_!_ 3,,,,,,,,,,,,
@-header,courseName_!_ Geology and Mineral Exploration (NTA Level 5),,,,,,,,,,,,
@-header,year_!_ 1,,,,,,,,,,,,
@-header,semester_!_ 1,,,,,,,,,,,,
@-header,batchId_!_ 7,,,,,,,,,,,,
@-header,batchName_!_ 2015/2016,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,19,20,21,22,23,24,25,26
Ref,Repeat,Reg Number,res,res,res,Economic Geology,Petrology,Exploration Geochemistry,Control Surveying,Calculus and Numerical Methods,Electricity and Magnetism,Computer Networks and Database systems,Technical Report Writing
2,0,0001MID16,#,#,#,11,21,31,41,51,61,71,81
3,0,0002MID16,#,#,#,7,17,27,37,47,57,67,77
4,0,0003MID16,#,#,#,92,82,72,62,52,42,32,22
