@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,
@-header,maximumScore_!_ 100,,,,,,
@-header,fileType_!_ results,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,
@-header,courseId_!_ 8,,,,,,
@-header,courseName_!_ Bachelor of Science in Health Laboratory Science,,,,,,
@-header,year_!_ 3,,,,,,
@-header,semester_!_ 1,,,,,,
@-header,batchId_!_ 7,,,,,,
@-header,batchName_!_ 2015/2016,,,,,,
@-header,flags_!_ 0,,,,,,
@-header,compilationTime_!_ 2018:04:27:08:43:39,,,,,,
@-header,columnCount_!_ 8,,,,,,
,,,,,,,
,,,,,,232,291
Ref,GPA,Reg Number,Flags,Details,res,Molecular  Biology,Lab Quality System
3488,,TUMA/KCMUCo/BScHLSc/2015/2016/0545,9,,,53.5,56
3750,,TUMA/KCMUCo/BScHLSc/2015/2016/0546,9,,,62,60
2781,,TUMA/KCMUCo/BScHLSc/2015/2016/0547,65,,,67.5,57
2915,,TUMA/KCMUCo/BScHLSc/2015/2016/0548,65,,,77,57
3400,,TUMA/KCMUCo/BScHLSc/2015/2016/0549,9,,,70.5,72
3847,,TUMA/KCMUCo/BScHLSc/2015/2016/0550,11,,,66.5,46
3411,,TUMA/KCMUCo/BScHLSc/2015/2016/0551,9,,,52.5,72
3860,,TUMA/KCMUCo/BScHLSc/2015/2016/0552,9,,,71.5,66
3399,,TUMA/KCMUCo/BScHLSc/2015/2016/0553,9,,,77,63
3439,,TUMA/KCMUCo/BScHLSc/2015/2016/0554,9,,,65,54
4026,,TUMA/KCMUCo/BScHLSc/2015/2016/0556,9,,,75.5,55
3382,,TUMA/KCMUCo/BScHLSc/2015/2016/0558,11,,,60,49
3751,,TUMA/KCMUCo/BScHLSc/2015/2016/0563,11,,,38.5,38
3998,,TUMA/KCMUCo/BScHLSc/2015/2016/0564,65,,,64,56
3351,,TUMA/KCMUCo/BScHLSc/2015/2016/0574,9,,,68,57
3879,,TUMA/KCMUCo/BScHLSc/2015/2016/0575,11,,,46,46
3987,,TUMA/KCMUCo/BScHLSc/2015/2016/0577,9,,,59,54
2926,,TUMA/KCMUCo/BScHLSc/2015/2016/0578,11,,,57,45
3991,,TUMA/KCMUCo/BScHLSc/2015/2016/0579,11,,,50.5,29
3178,,TUMA/KCMUCo/BScHLSc/2015/2016/0580,9,,,76,67
3353,,TUMA/KCMUCo/BScHLSc/2015/2016/0581,9,,,54,53
3239,,TUMA/KCMUCo/BScHLSc/2015/2016/0582,9,,,68,61
3145,,TUMA/KCMUCo/BScHLSc/2015/2016/0583,11,,,52.5,49
3660,,TUMA/KCMUCo/BScHLSc/2015/2016/0584,65,,,62.5,60
3360,,TUMA/KCMUCo/BScHLSc/2015/2016/0585,11,,,56.5,49
3535,,TUMA/KCMUCo/BScHLSc/2015/2016/0586,9,,,60,55
3955,,TUMA/KCMUCo/BScHLSc/2015/2016/0587,11,,,50.5,39
3138,,TUMA/KCMUCo/BScHLSc/2015/2016/0588,65,,,62.5,61
3597,,TUMA/KCMUCo/BScHLSc/2015/2016/0589,9,,,68.5,51
3026,,TUMA/KCMUCo/BScHLSc/2015/2016/0590,11,,,46.5,34
3219,,TUMA/KCMUCo/BScHLSc/2015/2016/0591,9,,,80,63
3303,,TUMA/KCMUCo/BScHLSc/2015/2016/0592,11,,,42,49
3352,,TUMA/KCMUCo/BScHLSc/2015/2016/0593,9,,,53.5,63
3308,,TUMA/KCMUCo/BScHLSc/2015/2016/0594,11,,,69.5,48
3251,,TUMA/KCMUCo/BScHLSc/2015/2016/0595,9,,,81,51
