@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,
@-header,maximumScore_!_ 100,,,,,,
@-header,fileType_!_ results,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,
@-header,courseId_!_ 29,,,,,,
@-header,courseName_!_ MMed in Paediatrics and Child Health,,,,,,
@-header,year_!_ 3,,,,,,
@-header,semester_!_ 2,,,,,,
@-header,batchId_!_ 5,,,,,,
@-header,batchName_!_ 2013/2014,,,,,,
@-header,flags_!_ 16,,,,,,
@-header,compilationTime_!_ 2018:11:24:16:52:27,,,,,,
@-header,columnCount_!_ 8,,,,,,
,,,,,,,
,,,,,,1265,1266
Ref,GPA,Reg Number,Flags,Details,res,ESAT 5,Dissertation 
105,2:3,TUMA/KCMUCo/MMED.PAE/2016/2017/0108,9,,2:60:180,74,72
112,2:4,TUMA/KCMUCo/MMED.PAE/2016/2017/0109,9,,2:60:240,75,81
371,2:3.5,TUMA/KCMUCo/MMED.PAE/2016/2017/0110,9,,2:60:210,73,80
173,2:3.5,TUMA/KCMUCo/MMED.PAE/2016/2017/0111,9,,2:60:210,73,78
67,2:3.5,TUMA/KCMUCo/MMED.PAE/2016/2017/0112,9,,2:60:210,80,74
366,2:4.5,TUMA/KCMUCo/MMED.PAE/2016/2017/0113,9,,2:60:270,78,86
