@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,
@-header,compilationTime_!_ 2019:04:08:12:05:38,,,,,,
@-header,columnCount_!_ 8,,,,,,
@-header,maximumScore_!_ 100,,,,,,
@-header,fileType_!_ results,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,
@-header,courseId_!_ 13,,,,,,
@-header,courseName_!_ Master of Science(MSc) in Epidemiology and Applied Biostatistics,,,,,,
@-header,year_!_ 2,,,,,,
@-header,semester_!_ 1,,,,,,
@-header,batchId_!_ 7,,,,,,
@-header,batchName_!_ 2015/2016,,,,,,
@-header,flags_!_ 0,,,,,,
,,,,,,,
,,,,,,157,158
Ref,GPA,Reg Number,Flags,Details,res,Advanced Survival analysis,Multi-level models
3443,,TUMA/KCMUCo/MSc.EAB/2016/2017/057,65,,,77,77
2891,,TUMA/KCMUCo/MSc.EAB/2016/2017/058,65,,,89,75
3462,,TUMA/KCMUCo/MSc.EAB/2016/2017/059,65,,,73,76
3531,,TUMA/KCMUCo/MSc.EAB/2016/2017/060,65,,,60,73
3524,,TUMA/KCMUCo/MSc.EAB/2016/2017/061,65,,,77,86
3311,,TUMA/KCMUCo/MSc.EAB/2016/2017/062,65,,,82,77
3519,,TUMA/KCMUCo/MSc.EAB/2016/2017/063,65,,,69,73
3530,,TUMA/KCMUCo/MSc.EAB/2016/2017/064,65,,,74,80
3333,,TUMA/KCMUCo/MSc.EAB/2016/2017/065,65,,,74,79
868,,TUMA/KCMUCo/MSc.EAB/2016/2017/079,69,,,78,66
