@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,
@-header,courseId_!_ 39,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Nursing (In-Service),,,,,,,,,,
@-header,year_!_ 2,,,,,,,,,,
@-header,semester_!_ 2,,,,,,,,,,
@-header,batchId_!_ 6,,,,,,,,,,
@-header,batchName_!_ 2014/2015,,,,,,,,,,
@-header,flags_!_ 0,,,,,,,,,,
@-header,compilationTime_!_ 2018:09:07:13:15:00,,,,,,,,,,
@-header,columnCount_!_ 12,,,,,,,,,,
,,,,,,,,,,,
,,,,,,93,94,95,96,97,98
Ref,GPA,Reg Number,Flags,Details,res,Sociology & Anthropology,Development Studies,Advanced Nursing Sciences,Community  Health Nursing,Research Methodology ,Leadership & Management
867,,TUMA/KCMUCo/BSC.N/2015/2016/0666,65,,,63,55,86,83.5,86,64
808,,TUMA/KCMUCo/BSC.N/2015/2016/0667,65,,,66,65,88,61,76,66
760,,TUMA/KCMUCo/BSC.N/2015/2016/0694,65,,,58,51,78,59.5,64,57
829,,TUMA/KCMUCo/BSC.N/2015/2016/0711,67,,,49,61,82,73,85,65
795,,TUMA/KCMUCo/BSC.N/2015/2016/0712,65,,,61,52,77,62,69,61
887,,TUMA/KCMUCo/BSC.N/2015/2016/0713,65,,,79,72,71,74.5,66,72
813,,TUMA/KCMUCo/BSC.N/2015/2016/0714,9,,,58,67,87,66.5,70,57
843,,TUMA/KCMUCo/BSC.N/2015/2016/0715,9,,,69,53,77,80,81,67
846,,TUMA/KCMUCo/BSC.N/2015/2016/0716,65,,,64,66,82,80,80,81
866,,TUMA/KCMUCo/BSC.N/2015/2016/0717,9,,,75,59,79,83,69,80
942,,TUMA/KCMUCo/BSC.N/2015/2016/0718,9,,,78,55,72,74,72,71
835,,TUMA/KCMUCo/BSC.N/2015/2016/0720,67,,,46,50,85,61,56,56
823,,TUMA/KCMUCo/BSC.N/2015/2016/0722,65,,,69,58,72,84,83,51
898,,TUMA/KCMUCo/BSC.N/2015/2016/0725,9,,,76,52,86,84.5,81,70
805,,TUMA/KCMUCo/BSC.N/2015/2016/0729,11,,,70,70,68,46,66,77
837,,TUMA/KCMUCo/BSC.N/2015/2016/0732,67,,,39,55,75,51,50,63
903,,TUMA/KCMUCo/BSC.N/2015/2016/0733,11,,,50,49,68,58,60,69
947,,TUMA/KCMUCo/BSC.N/2015/2016/0739,9,,,72,60,74,52,73,55
789,,TUMA/KCMUCo/BSC.N/2015/2016/0752,9,,,66,57,62,57.5,66,72
349,,TUMA/KCMUCo/BSC.N/2015/2016/0754,13,,,66,84,68,54,79,62
917,,TUMA/KCMUCo/BSC.N/2015/2016/0787,65,,,72,65,80,76,82,70
832,,TUMA/KCMUCo/BSC.N/2015/2016/0803,67,,,49,63,57,50,69,59
812,,TUMA/KCMUCo/BSC.N/2015/2016/0810,11,,,65,43,67,76.5,68,62
857,,TUMA/KCMUCo/BSC.N/2015/2016/0812,9,,,58,54,73,56,59,77
913,,TUMA/KCMUCo/BSC.N/2015/2016/0818,67,,,58,47,81,60,77,71
828,,TUMA/KCMUCo/BSC.N/2015/2016/0823,65,,,68,69,60,81,79,79
