@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,
@-header,compilationTime_!_ 2016:08:25:07:41:03,,,,,,
@-header,columnCount_!_ 8,,,,,,
@-header,maximumScore_!_ 100,,,,,,
@-header,fileType_!_ results,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,
@-header,courseId_!_ 3,,,,,,
@-header,courseName_!_ Geology and Mineral Exploration (NTA Level 5),,,,,,
@-header,year_!_ 1,,,,,,
@-header,semester_!_ 0,,,,,,
@-header,batchId_!_ 7,,,,,,
@-header,batchName_!_ 2015/2016,,,,,,
,,,,,,,
,,,,,,,
,,,,,,19,20
Ref,Repeat,Reg Number,res,res,res,Economic Geology,Petrology
4,0,0003MID16,2,,#,19,87
5,0,0004MID16,2,,#,11,45
6,0,TZ.NACTE.00005,2,,#,12,72
7,0,TZ.NACTE.0098.012,2,,#,19,58
11,0,0005MID16,2,,#,35,98
