@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,,
@-header,courseId_!_ 13,,,,,,,,,,,,,
@-header,courseName_!_ Master of Science(MSc) in Epidemiology and Applied Biostatistics,,,,,,,,,,,,,
@-header,year_!_ 1,,,,,,,,,,,,,
@-header,semester_!_ 1,,,,,,,,,,,,,
@-header,batchId_!_ 7,,,,,,,,,,,,,
@-header,batchName_!_ 2015/2016,,,,,,,,,,,,,
@-header,flags_!_ 16,,,,,,,,,,,,,
@-header,compilationTime_!_ 2018:05:30:10:05:53,,,,,,,,,,,,,
@-header,columnCount_!_ 15,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,135,134,136,137,144,143,145,146,142
Ref,GPA,Reg Number,Flags,Details,res,Epidemiology,Biostatistics,Research Methodology,Research management and leadership,Epidemiology of Communicable Disease,Surveillance,Epidemiology of Non-Communicable Disease,Screening and Diagnostics,Advanced Study Designs I
3443,1:4.2,TUMA/KCMUCo/MSc.EAB/2016/2017/057,9,,1:56:236,80,86,83,66,76,86,68,91,85
2891,1:3.5,TUMA/KCMUCo/MSc.EAB/2016/2017/058,9,,1:56:196,72,60,89,62,73,80,80,70,77
3462,1:3.6,TUMA/KCMUCo/MSc.EAB/2016/2017/059,9,,1:56:206,77,64,77,67,68,85,73,93,60
3531,1:3.4,TUMA/KCMUCo/MSc.EAB/2016/2017/060,9,,1:56:192,72,60,72,68,91,83,80,61,60
3524,1:4.2,TUMA/KCMUCo/MSc.EAB/2016/2017/061,9,,1:56:238,84,73,93,77,87,81,91,83,90
3311,1:3.8,TUMA/KCMUCo/MSc.EAB/2016/2017/062,9,,1:56:218,83,68,64,78,68,88,88,88,60
3519,1:4,TUMA/KCMUCo/MSc.EAB/2016/2017/063,9,,1:56:226,81,74,93,61,76,84,93,82,89
3530,1:3.5,TUMA/KCMUCo/MSc.EAB/2016/2017/064,9,,1:56:198,83,70,73,70,79,64,88,74,78
3333,1:4,TUMA/KCMUCo/MSc.EAB/2016/2017/065,9,,1:56:228,73,96,83,61,70,82,93,88,87
868,1:3.1,TUMA/KCMUCo/MSc.EAB/2016/2017/079,9,,1:56:174,70,65,60,66,63,64,60,76,66
