@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,
@-header,courseId_!_ 27,,,,,,,,,,,,
@-header,courseName_!_ MMed in Orthopaedic Surgery,,,,,,,,,,,,
@-header,year_!_ 1,,,,,,,,,,,,
@-header,semester_!_ 1,,,,,,,,,,,,
@-header,batchId_!_ 5,,,,,,,,,,,,
@-header,batchName_!_ 2013/2014,,,,,,,,,,,,
@-header,flags_!_ 16,,,,,,,,,,,,
@-header,compilationTime_!_ 2018:12:04:09:49:49,,,,,,,,,,,,
@-header,columnCount_!_ 14,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,1220,1221,1222,1223,1224,1225,1226,1227
Ref,GPA,Reg Number,Flags,Details,res,EPIDEMIOLOGY,BIOSTATISTICS,RESEARCH METHODOLOGY,ANATOMY,PHYSIOLOGY,CLINICAL PHARMACOLOGY,PATHOLOGY,IMMUNOLOGY & GENETICS
7,1:3.8,TUMA/KCMUCo/MMED.ORT/2016/2017/0381,9,,1:60:231,84,74,82,76,67,82,80,89
89,1:3.2,TUMA/KCMUCo/MMED.ORT/2017/2018/0394,9,,1:60:196,65,73,89,61,68,71,60,71
165,1:3.1,TUMA/KCMUCo/MMED.ORT/2017/2018/0395,9,,1:60:186,65,64,67,71,60,65,60,84
