@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,
@-header,compilationTime_!_ 2017:07:20:12:25:58,,,,,,,,,,
@-header,columnCount_!_ 12,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,
@-header,courseId_!_ 4,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Physiotherapy (Direct),,,,,,,,,,
@-header,year_!_ 2,,,,,,,,,,
@-header,semester_!_ 2,,,,,,,,,,
@-header,batchId_!_ 5,,,,,,,,,,
@-header,batchName_!_ 2013/2014,,,,,,,,,,
@-header,flags_!_ 0,,,,,,,,,,
,,,,,,,,,,,
,,,,,,527,528,529,530,531,532
Ref,GPA,Reg Number,Flags,Details,res,Musculoskeletal Conditions Level 1,Adult Neurological conditions Level 1,	Cardio respiratory Conditions Level 1,	Paediatric Conditions Level 1,	Diagnostic Radiography ,	Field Work (Community)
351,,TUMA/KCMUCo/BScPhysio/2015/2016/0212,67,,,75,89.5,67,84,70,
308,,TUMA/KCMUCo/BScPhysio/2015/2016/0213,67,,,52,57.5,55.5,58,65,
202,,TUMA/KCMUCo/BScPhysio/2015/2016/0214,67,,,71,71.5,56.5,66,78,
335,,TUMA/KCMUCo/BScPhysio/2015/2016/0215,11,,,68,75.5,61,62,64,
353,,TUMA/KCMUCo/BScPhysio/2015/2016/0216,67,,,72,66,53.5,64,54,
214,,TUMA/KCMUCo/BScPhysio/2015/2016/0217,67,,,72,85.5,67,83,64,
350,,TUMA/KCMUCo/BScPhysio/2015/2016/0218,67,,,75,69.5,62.5,69,69,
206,,TUMA/KCMUCo/BScPhysio/2015/2016/0219,67,,,71,80.5,65,77,76,
277,,TUMA/KCMUCo/BScPhysio/2015/2016/0220,67,,,50,57.5,58.5,59,50,
233,,TUMA/KCMUCo/BScPhysio/2015/2016/0221,67,,,57,63,60,61,61,
236,,TUMA/KCMUCo/BScPhysio/2015/2016/0223,67,,,76,89,65,78,73,
84,,TUMA/KCMUCo/BScPhysio/2015/2016/0224,67,,,,,,,,
199,,TUMA/KCMUCo/BScPhysio/2015/2016/0226,67,,,73,83,60.5,83,77,
38,,TUMA/KCMUCo/BScPhysio/2015/2016/0227,67,,,66,64.5,60.5,61,68,
21,,TUMA/KCMUCo/BScPhysio/2015/2016/0228,67,,,71,56,59,67,53,
322,,TUMA/KCMUCo/BScPhysio/2015/2016/0229,67,,,75,71.5,64,68,60,
247,,TUMA/KCMUCo/BScPhysio/2015/2016/0244,11,,,69,80,65.5,79,65,
314,,TUMA/KCMUCo/BScPhysio/2015/2016/0246,67,,,70,53,,53,50,
311,,TUMA/KCMUCo/BScPhysio/2015/2016/0249,67,,,,,,,,
96,,TUMA/KCMUCo/BScPhysio/2015/2016/0289,67,,,,,,,,
87,,TUMA/KCMUCo/BScPhysio/2015/2016/0299,67,,,,,,,,
88,,TUMA/KCMUCo/BScPhysio/2016/2017/0314,67,,,,,,,,
285,,TUMA/KCMUCo/BScPhysio/2016/2017/0315,67,,,73,72.5,61,69,66,
