@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,
@-header,maximumScore_!_ 100,,,,,,
@-header,fileType_!_ results,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,
@-header,courseId_!_ 4,,,,,,
@-header,courseName_!_ Bachelor of Science in Physiotherapy (Direct),,,,,,
@-header,year_!_ 4,,,,,,
@-header,semester_!_ 0,,,,,,
@-header,batchId_!_ 5,,,,,,
@-header,batchName_!_ 2013/2014,,,,,,
@-header,flags_!_ 0,,,,,,
@-header,compilationTime_!_ 2018:05:21:10:08:49,,,,,,
@-header,columnCount_!_ 8,,,,,,
,,,,,,,
,,,,,,610,654
Ref,GPA,Reg Number,Flags,Details,res,Epidemiology and Biostatistics,Research Methodology Level 3
351,,TUMA/KCMUCo/BScPhysio/2015/2016/0212,67,,,,50
202,,TUMA/KCMUCo/BScPhysio/2015/2016/0214,67,,,,50
206,,TUMA/KCMUCo/BScPhysio/2015/2016/0219,65,,,50,50
21,,TUMA/KCMUCo/BScPhysio/2015/2016/0228,67,,,,50
314,,TUMA/KCMUCo/BScPhysio/2015/2016/0246,67,,,,50
311,,TUMA/KCMUCo/BScPhysio/2015/2016/0249,67,,,,50
285,,TUMA/KCMUCo/BScPhysio/2016/2017/0315,67,,,,50
