@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,
@-header,courseId_!_ 25,,,,,,,,,,,,
@-header,courseName_!_ MMed in Obstetrics and Gynaecology,,,,,,,,,,,,
@-header,year_!_ 1,,,,,,,,,,,,
@-header,semester_!_ 1,,,,,,,,,,,,
@-header,batchId_!_ 5,,,,,,,,,,,,
@-header,batchName_!_ 2013/2014,,,,,,,,,,,,
@-header,flags_!_ 16,,,,,,,,,,,,
@-header,compilationTime_!_ 2018:11:24:14:42:48,,,,,,,,,,,,
@-header,columnCount_!_ 14,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,1158,1159,1160,1161,1162,1163,1164,1165
Ref,GPA,Reg Number,Flags,Details,res,EPIDEMIOLOGY,BIOSTATISTICS,RESEARCH METHODOLOGY,ANATOMY,PHYSIOLOGY,CLINICAL PHARMACOLOGY,PATHOLOGY,IMMUNOLOGY & GENETICS
140,1:3.1,TUMA/KCMUCo/MMED.OGY/2016/2017/0405,9,,1:60:188,62,50,86,67,65,64,70,71
153,1:3.5,TUMA/KCMUCo/MMED.OGY/2016/2017/0406,9,,1:60:210,75,70,82,65,58,73,80,86
164,1:3.1,TUMA/KCMUCo/MMED.OGY/2016/2017/0410,9,,1:60:191,76,67,79,63,57,71,70,70
155,1:2.9,TUMA/KCMUCo/MMED.OGY/2017/2018/0425,9,,1:60:174,69,62,83,56,57,67,70,73
33,1:3.2,TUMA/KCMUCo/MMED.OGY/2017/2018/0426,9,,1:60:196,75,59,84,71,67,71,70,79
47,1:3.3,TUMA/KCMUCo/MMED.OGY/2017/2018/0427,9,,1:60:201,71,66,87,66,62,56,70,85
