@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,,,
@-header,courseId_!_ 8,,,,,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Health Laboratory Science,,,,,,,,,,,,,,
@-header,year_!_ 2,,,,,,,,,,,,,,
@-header,semester_!_ 1,,,,,,,,,,,,,,
@-header,batchId_!_ 6,,,,,,,,,,,,,,
@-header,batchName_!_ 2014/2015,,,,,,,,,,,,,,
@-header,flags_!_ 16,,,,,,,,,,,,,,
@-header,compilationTime_!_ 2018:04:04:16:46:00,,,,,,,,,,,,,,
@-header,columnCount_!_ 16,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,355,223,335,224,336,207,339,356,357,358
Ref,GPA,Reg Number,Flags,Details,res,Lab Animal Sciences,Clinical Chemistry,Haematology,Histotechnology,Blood Transfussion Science,Parasitology,Foundation of Faith,Basic Pathology,Immunology,Microbiology
773,1:3,TUMA/KCMUCo/BScHLSc/2015/2016/0543,9,,1:60:185.4,70,55,53,64,83,73,63,63,79,55
840,1:3.7,TUMA/KCMUCo/BScHLSc/2015/2016/0544,9,,1:60:227.7,77,64,71,75,85,74,78,65,86,60
700,1:3.3,TUMA/KCMUCo/BScHLSc/2015/2016/0555,9,,1:60:199.5,63,63,63,62,75,69,71,62,87,61
865,1:3.1,TUMA/KCMUCo/BScHLSc/2015/2016/0557,9,,1:60:190.5,71,63,65,65,69,67,71,70,77,57
709,1:3.1,TUMA/KCMUCo/BScHLSc/2015/2016/0559,9,,1:60:189.5,61,66,66,59,72,67,72,82,71,54
659,1:3.3,TUMA/KCMUCo/BScHLSc/2015/2016/0560,9,,1:60:203.5,63,65,73,69,75,67,71,67,80,60
698,1:2.7,TUMA/KCMUCo/BScHLSc/2015/2016/0561,9,,1:60:162.2,62,53,58,65,55,65,71,60,76,50
587,1:2.9,TUMA/KCMUCo/BScHLSc/2015/2016/0562,9,,1:60:175.9,61,50,61,67,64,70,69,62,78,50
679,1:3.3,TUMA/KCMUCo/BScHLSc/2015/2016/0565,9,,1:60:199,56,60,58,73,75,64,72,73,81,51
844,1:3,TUMA/KCMUCo/BScHLSc/2015/2016/0566,9,,1:60:184.4,68,59,55,61,76,72,63,75,69,60
705,1:3.1,TUMA/KCMUCo/BScHLSc/2015/2016/0570,9,,1:60:191.4,73,56,61,67,66,70,67,73,83,51
776,1:3.6,TUMA/KCMUCo/BScHLSc/2015/2016/0571,9,,1:60:216.7,65,60,77,73,71,76,61,61,87,62
672,1:3.3,TUMA/KCMUCo/BScHLSc/2015/2016/0572,9,,1:60:202.9,71,57,62,69,82,79,66,71,79,62
703,1:3.3,TUMA/KCMUCo/BScHLSc/2015/2016/0573,9,,1:60:200.4,68,59,65,75,83,71,68,72,78,55
817,1:2.7,TUMA/KCMUCo/BScHLSc/2015/2016/0602,9,,1:60:162.4,59,50,54,51,65,70,72,62,76,56
710,1:3.1,TUMA/KCMUCo/BScHLSc/2015/2016/0603,9,,1:60:187.2,55,58,67,77,72,67,70,71,78,51
951,1:2.6,TUMA/KCMUCo/BScHLSc/2015/2016/0608,9,,1:60:158.7,66,50,58,56,68,66,75,68,74,53
694,1:3.1,TUMA/KCMUCo/BScHLSc/2015/2016/0609,9,,1:60:188.2,63,63,66,59,78,74,64,63,80,59
