@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,
@-header,maximumScore_!_ 100,,,,,,
@-header,fileType_!_ results,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,
@-header,courseId_!_ 26,,,,,,
@-header,courseName_!_ MMed in Ophthalmology,,,,,,
@-header,year_!_ 3,,,,,,
@-header,semester_!_ 2,,,,,,
@-header,batchId_!_ 5,,,,,,
@-header,batchName_!_ 2013/2014,,,,,,
@-header,flags_!_ 16,,,,,,
@-header,compilationTime_!_ 2018:11:24:18:36:59,,,,,,
@-header,columnCount_!_ 8,,,,,,
,,,,,,,
,,,,,,1216,1217
Ref,GPA,Reg Number,Flags,Details,res,ESAT 5,Dissertation 
95,2:3,TUMA/KCMUCo/MMED.OPH/2016/2017/0402,9,,2:60:180,73,73
32,2:3,TUMA/KCMUCo/MMED.OPH/2016/2017/0403,9,,2:60:180,74,74
400,2:4,TUMA/KCMUCo/MMED.OPH/2016/2017/0404,9,,2:60:240,76,76
7255,2:5,TUMA/KCMUCo/MMED.OPH/2017/2018/0406,9,,2:60:300,85,86
