@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,,
@-header,courseId_!_ 2,,,,,,,,,,,,,
@-header,courseName_!_ Occupational Therapy,,,,,,,,,,,,,
@-header,year_!_ 1,,,,,,,,,,,,,
@-header,semester_!_ 2,,,,,,,,,,,,,
@-header,batchId_!_ 6,,,,,,,,,,,,,
@-header,batchName_!_ 2014/2015,,,,,,,,,,,,,
@-header,flags_!_ 16,,,,,,,,,,,,,
@-header,compilationTime_!_ 2017:12:13:13:09:04,,,,,,,,,,,,,
@-header,columnCount_!_ 15,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,256,257,258,259,260,261,262,263,264
Ref,GPA,Reg Number,Flags,Details,res,Anatomy,Physiology,Clinical Science Pediatric Conditions,Practical Media,Foundation Of Ot Practice,Adapting &Adaptive Equipment,Community,Ot App. Physical Dysfunction,Ot Aplied To Pediatrics
959,2:3.5,TUMA/KCMUCo/DOT/2016/2017/0089,11,264.3,2:60:214.5,71,77,84,69,61,72,68,77,56
406,2:3.9,TUMA/KCMUCo/DOT/2016/2017/0131,9,,2:60:237.5,65,90,77,74,79,63,84,77,73
958,2:3.9,TUMA/KCMUCo/DOT/2016/2017/0132,9,,2:60:235,74,78,67,74,65,82,73,79,70
