@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,
@-header,courseId_!_ 7,,,,,,,,,,
@-header,courseName_!_ Diploma Health Laboratory Sciences,,,,,,,,,,
@-header,year_!_ 1,,,,,,,,,,
@-header,semester_!_ 2,,,,,,,,,,
@-header,batchId_!_ 8,,,,,,,,,,
@-header,batchName_!_ 2016/2017,,,,,,,,,,
@-header,flags_!_ 16,,,,,,,,,,
@-header,compilationTime_!_ 2017:07:31:15:02:24,,,,,,,,,,
@-header,columnCount_!_ 12,,,,,,,,,,
,,,,,,,,,,,
,,,,,,300,302,303,353,299,304
Ref,GPA,Reg Number,Flags,Details,res,Immunology and immunodiagnostics,Microbiology,Histopathology and Morbid anatomy,Blood Transfusion,Human Physiology & Body fluids,Clinical Chemistry
3362,2:0,TUMA/KCMUCo/DHLSc/2015/2016/0429,11,,2:60:0,,,,,23,
4715,2:0.3,TUMA/KCMUCo/DHLSc/2016/2017/0481,9,,2:60:22,,,,,57,
4736,2:0.5,TUMA/KCMUCo/DHLSc/2016/2017/0482,9,,2:60:33,,,,,64,
4741,2:0.3,TUMA/KCMUCo/DHLSc/2016/2017/0483,11,,2:60:22,,,,,52,
4744,2:0.7,TUMA/KCMUCo/DHLSc/2016/2017/0484,9,,2:60:44,,,,,74,
4746,2:0.7,TUMA/KCMUCo/DHLSc/2016/2017/0485,9,,2:60:44,,,,,72,
4747,2:0.5,TUMA/KCMUCo/DHLSc/2016/2017/0486,9,,2:60:33,,,,,69,
4753,2:0.5,TUMA/KCMUCo/DHLSc/2016/2017/0487,9,,2:60:33,,,,,68,
4758,2:0.5,TUMA/KCMUCo/DHLSc/2016/2017/0488,9,,2:60:33,,,,,69,
4761,2:0.7,TUMA/KCMUCo/DHLSc/2016/2017/0489,9,,2:60:44,,,,,70,
4766,2:0.7,TUMA/KCMUCo/DHLSc/2016/2017/0490,9,,2:60:44,,,,,74,
4770,2:0.3,TUMA/KCMUCo/DHLSc/2016/2017/0491,11,,2:60:22,,,,,56,
4774,2:0.7,TUMA/KCMUCo/DHLSc/2016/2017/0492,9,,2:60:44,,,,,71,
4781,2:0.5,TUMA/KCMUCo/DHLSc/2016/2017/0493,9,,2:60:33,,,,,62,
4783,2:0.5,TUMA/KCMUCo/DHLSc/2016/2017/0494,11,,2:60:33,,,,,63,
4792,2:0.3,TUMA/KCMUCo/DHLSc/2016/2017/0495,9,,2:60:22,,,,,58,
4795,2:0.5,TUMA/KCMUCo/DHLSc/2016/2017/0496,9,,2:60:33,,,,,67,
4799,2:0.5,TUMA/KCMUCo/DHLSc/2016/2017/0497,9,,2:60:33,,,,,62,
4804,2:0.5,TUMA/KCMUCo/DHLSc/2016/2017/0498,9,,2:60:33,,,,,67,
4819,2:0.7,TUMA/KCMUCo/DHLSc/2016/2017/0499,9,,2:60:44,,,,,75,
4821,2:0.7,TUMA/KCMUCo/DHLSc/2016/2017/0500,9,,2:60:44,,,,,71,
4827,2:0.3,TUMA/KCMUCo/DHLSc/2016/2017/0501,11,,2:60:22,,,,,53,
4830,2:0.5,TUMA/KCMUCo/DHLSc/2016/2017/0502,9,,2:60:33,,,,,64,
4831,2:0.5,TUMA/KCMUCo/DHLSc/2016/2017/0503,9,,2:60:33,,,,,61,
4843,2:0.5,TUMA/KCMUCo/DHLSc/2016/2017/0504,11,,2:60:33,,,,,67,
