@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,
@-header,courseId_!_ 26,,,,,,,,,,,,
@-header,courseName_!_ MMed in Ophthalmology,,,,,,,,,,,,
@-header,year_!_ 1,,,,,,,,,,,,
@-header,semester_!_ 1,,,,,,,,,,,,
@-header,batchId_!_ 5,,,,,,,,,,,,
@-header,batchName_!_ 2013/2014,,,,,,,,,,,,
@-header,flags_!_ 16,,,,,,,,,,,,
@-header,compilationTime_!_ 2018:11:24:18:32:37,,,,,,,,,,,,
@-header,columnCount_!_ 14,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,1205,1206,1207,1208,1209,1210,1211,1212
Ref,GPA,Reg Number,Flags,Details,res,EPIDEMIOLOGY,BIOSTATISTICS,RESEARCH METHODOLOGY,ANATOMY,PHYSIOLOGY,CLINICAL PHARMACOLOGY,PATHOLOGY,IMMUNOLOGY & GENETICS
95,1:3.3,TUMA/KCMUCo/MMED.OPH/2016/2017/0402,9,,1:60:202,74,61,92,70,54,76,70,81
32,1:2.3,TUMA/KCMUCo/MMED.OPH/2016/2017/0403,9,,1:60:141,55,52,67,58,50,58,60,60
400,1:3.6,TUMA/KCMUCo/MMED.OPH/2016/2017/0404,9,,1:60:218,80,65,83,81,70,62,80,81
7255,1:3.7,TUMA/KCMUCo/MMED.OPH/2017/2018/0406,9,,1:60:225,84,81,78,80,61,71,70,93
