@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,
@-header,compilationTime_!_ 2017:08:18:13:35:31,,,,,,,,,,
@-header,columnCount_!_ 12,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,
@-header,courseId_!_ 3,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Prosthetics and Orthotics,,,,,,,,,,
@-header,year_!_ 3,,,,,,,,,,
@-header,semester_!_ 2,,,,,,,,,,
@-header,batchId_!_ 6,,,,,,,,,,
@-header,batchName_!_ 2014/2015,,,,,,,,,,
@-header,flags_!_ 0,,,,,,,,,,
,,,,,,,,,,,
,,,,,,419,426,427,428,429,430
Ref,GPA,Reg Number,Flags,Details,res,	Pathology – II,External clinical attachment,	Prosthetic Science practical - III,Biomechanics – V, Research methodology – II,	Electro-Technology – II
636,,TUMA/KCMUCo/BSc.P&O/2015/2016/0246,67,,,63,,68,73,57,72
907,,TUMA/KCMUCo/BSc.P&O/2015/2016/0257,67,,,65,,69,79,64,78
950,,TUMA/KCMUCo/BSc.P&O/2015/2016/0261,67,,,,,,,,
422,,TUMA/KCMUCo/BSc.P&O/2015/2016/0264,67,,,,,,,,
949,,TUMA/KCMUCo/BSc.P&O/2015/2016/0269,67,,,51,,71,35,51,16
925,,TUMA/KCMUCo/BSc.P&O/2015/2016/0272,67,,,,,,,,
655,,TUMA/KCMUCo/BSc.P&O/2015/2016/0276,67,,,,,,,,
459,,TUMA/KCMUCo/BSc.P&O/2015/2016/0279,67,,,67,,79,61,65,77
666,,TUMA/KCMUCo/BSc.P&O/2015/2016/0286,67,,,70,,75,90,60,86
584,,TUMA/KCMUCo/BSc.P&O/2015/2016/0287,67,,,64,,59,68,56,61
833,,TUMA/KCMUCo/BSc.P&O/2015/2016/0288,67,,,77,,71,66,61,72
514,,TUMA/KCMUCo/BSc.P&O/2016/2017/0290,67,,,74,,76,48,61,85
585,,TUMA/KCMUCo/BSc.P&O/2016/2017/0291,67,,,67,,78,56,72,81
921,,TUMA/KCMUCo/BSc.P&O/2016/2017/0292,67,,,,,,,,
606,,TUMA/KCMUCo/BSc.P&O/2016/2017/0300,67,,,,,,,,
800,,TUMA/KCMUCo/BSc.P&O/2016/2017/0316,67,,,,,,,,
692,,TUMA/KCMUCo/BSc.P&O/2016/2017/0318,67,,,,,,,,
