@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,
@-header,compilationTime_!_ 2017:08:25:12:57:27,,,,,,,,,,
@-header,columnCount_!_ 12,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,
@-header,courseId_!_ 39,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Nursing (In-Service),,,,,,,,,,
@-header,year_!_ 3,,,,,,,,,,
@-header,semester_!_ 1,,,,,,,,,,
@-header,batchId_!_ 6,,,,,,,,,,
@-header,batchName_!_ 2014/2015,,,,,,,,,,
@-header,flags_!_ 0,,,,,,,,,,
,,,,,,,,,,,
,,,,,,99,100,101,102,103,568
Ref,GPA,Reg Number,Flags,Details,res,Nursing Sciences and Entrepreneurship,Nursing Education,Research Methodology ,Community Nursing ,Leadership & Management,Advanced Nursing Sciences
867,,TUMA/KCMUCo/BSC.N/2015/2016/0666,67,,,,95,75,60,73,84
808,,TUMA/KCMUCo/BSC.N/2015/2016/0667,67,,,,90,72,54,76,72
760,,TUMA/KCMUCo/BSC.N/2015/2016/0694,67,,,,78,77,57,77,68
829,,TUMA/KCMUCo/BSC.N/2015/2016/0711,67,,,,86,76,60,74,62
795,,TUMA/KCMUCo/BSC.N/2015/2016/0712,67,,,,72,78,58,75,67
887,,TUMA/KCMUCo/BSC.N/2015/2016/0713,67,,,,93,77,60,75,73
813,,TUMA/KCMUCo/BSC.N/2015/2016/0714,11,,,,88,80,60,80,75
843,,TUMA/KCMUCo/BSC.N/2015/2016/0715,11,,,,80,77,57,76,79
846,,TUMA/KCMUCo/BSC.N/2015/2016/0716,67,,,,94,79,57,83,81
866,,TUMA/KCMUCo/BSC.N/2015/2016/0717,11,,,,86,70,63,74,74
942,,TUMA/KCMUCo/BSC.N/2015/2016/0718,11,,,,94,75,50,66,66
835,,TUMA/KCMUCo/BSC.N/2015/2016/0720,11,,,,87,73,44,67,53
823,,TUMA/KCMUCo/BSC.N/2015/2016/0722,67,,,,73,74,40,79,65
898,,TUMA/KCMUCo/BSC.N/2015/2016/0725,11,,,,84,79,56,83,74
895,,TUMA/KCMUCo/BSC.N/2015/2016/0726,11,,,,,,,,
805,,TUMA/KCMUCo/BSC.N/2015/2016/0729,11,,,,91,77,43,81,89
837,,TUMA/KCMUCo/BSC.N/2015/2016/0732,11,,,,55,78,36,58,62
903,,TUMA/KCMUCo/BSC.N/2015/2016/0733,11,,,,39,71,45,51,52
947,,TUMA/KCMUCo/BSC.N/2015/2016/0739,11,,,,81,72,56,76,55
789,,TUMA/KCMUCo/BSC.N/2015/2016/0752,11,,,,61,80,48,63,65
917,,TUMA/KCMUCo/BSC.N/2015/2016/0787,67,,,,93,72,73,77,76
832,,TUMA/KCMUCo/BSC.N/2015/2016/0803,67,,,,42,80,40,60,65
812,,TUMA/KCMUCo/BSC.N/2015/2016/0810,11,,,,85,75,50,84,84
857,,TUMA/KCMUCo/BSC.N/2015/2016/0812,11,,,,57,76,60,62,61
913,,TUMA/KCMUCo/BSC.N/2015/2016/0818,67,,,,76,83,63,67,71
828,,TUMA/KCMUCo/BSC.N/2015/2016/0823,67,,,,89,74,59,77,66
