@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,
@-header,compilationTime_!_ 2017:04:19:19:03:07,,,,,
@-header,columnCount_!_ 7,,,,,
@-header,maximumScore_!_ 60,,,,,
@-header,fileType_!_ results,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,
@-header,courseId_!_ 6,,,,,
@-header,courseName_!_ Bachelor of Science in Nursing,,,,,
@-header,year_!_ 1,,,,,
@-header,semester_!_ 1,,,,,
@-header,batchId_!_ 8,,,,,
@-header,batchName_!_ 2016/2017,,,,,
@-header,flags_!_ 0,,,,,
,,,,,,
,,,,,,74
Ref,GPA,Reg Number,Flags,Details,res,Parasitology
4025,,TUMA/KCMUCo/BSC.N/2015/2016/0747,69,,,36
4732,,TUMA/KCMUCo/BSC.N/2016/2017/0837,9,,,33
4780,,TUMA/KCMUCo/BSC.N/2016/2017/0838,9,,,38
4823,,TUMA/KCMUCo/BSC.N/2016/2017/0839,65,,,35
4862,,TUMA/KCMUCo/BSC.N/2016/2017/0840,65,,,40
4959,,TUMA/KCMUCo/BSC.N/2016/2017/0841,65,,,37
5020,,TUMA/KCMUCo/BSC.N/2016/2017/0842,65,,,34
5082,,TUMA/KCMUCo/BSC.N/2016/2017/0843,65,,,39
5100,,TUMA/KCMUCo/BSC.N/2016/2017/0844,9,,,36
5101,,TUMA/KCMUCo/BSC.N/2016/2017/0845,9,,,38
5115,,TUMA/KCMUCo/BSC.N/2016/2017/0846,65,,,25
5157,,TUMA/KCMUCo/BSC.N/2016/2017/0847,65,,,37
5197,,TUMA/KCMUCo/BSC.N/2016/2017/0848,9,,,38
5198,,TUMA/KCMUCo/BSC.N/2016/2017/0849,65,,,41
5222,,TUMA/KCMUCo/BSC.N/2016/2017/0850,65,,,31
5232,,TUMA/KCMUCo/BSC.N/2016/2017/0851,65,,,34
5237,,TUMA/KCMUCo/BSC.N/2016/2017/0852,9,,,33
5242,,TUMA/KCMUCo/BSC.N/2016/2017/0853,9,,,34
5245,,TUMA/KCMUCo/BSC.N/2016/2017/0854,65,,,36
5257,,TUMA/KCMUCo/BSC.N/2016/2017/0855,65,,,37
5274,,TUMA/KCMUCo/BSC.N/2016/2017/0856,9,,,29
5297,,TUMA/KCMUCo/BSC.N/2016/2017/0857,65,,,34
5316,,TUMA/KCMUCo/BSC.N/2016/2017/0858,65,,,33
5339,,TUMA/KCMUCo/BSC.N/2016/2017/0859,9,,,43
5401,,TUMA/KCMUCo/BSC.N/2016/2017/0860,65,,,37
5464,,TUMA/KCMUCo/BSC.N/2016/2017/0861,9,,,40
5508,,TUMA/KCMUCo/BSC.N/2016/2017/0862,65,,,38
5522,,TUMA/KCMUCo/BSC.N/2016/2017/0863,65,,,37
5533,,TUMA/KCMUCo/BSC.N/2016/2017/0864,9,,,37
5545,,TUMA/KCMUCo/BSC.N/2016/2017/0865,9,,,38
5555,,TUMA/KCMUCo/BSC.N/2016/2017/0866,65,,,38
5556,,TUMA/KCMUCo/BSC.N/2016/2017/0867,65,,,39
5560,,TUMA/KCMUCo/BSC.N/2016/2017/0868,65,,,42
5564,,TUMA/KCMUCo/BSC.N/2016/2017/0869,65,,,35
5612,,TUMA/KCMUCo/BSC.N/2016/2017/0870,9,,,35
5614,,TUMA/KCMUCo/BSC.N/2016/2017/0871,65,,,37
5658,,TUMA/KCMUCo/BSC.N/2016/2017/0872,9,,,38
5741,,TUMA/KCMUCo/BSC.N/2016/2017/0873,65,,,37
5767,,TUMA/KCMUCo/BSC.N/2016/2017/0874,65,,,44
5790,,TUMA/KCMUCo/BSC.N/2016/2017/0875,65,,,38
5797,,TUMA/KCMUCo/BSC.N/2016/2017/0876,9,,,35
5848,,TUMA/KCMUCo/BSC.N/2016/2017/0877,9,,,39
5920,,TUMA/KCMUCo/BSC.N/2016/2017/0878,65,,,35
5993,,TUMA/KCMUCo/BSC.N/2016/2017/0879,9,,,27
6000,,TUMA/KCMUCo/BSC.N/2016/2017/0880,65,,,32
6097,,TUMA/KCMUCo/BSC.N/2016/2017/0881,65,,,37
6117,,TUMA/KCMUCo/BSC.N/2016/2017/0882,65,,,39
6132,,TUMA/KCMUCo/BSC.N/2016/2017/0883,65,,,40
6152,,TUMA/KCMUCo/BSC.N/2016/2017/0884,65,,,28
6180,,TUMA/KCMUCo/BSC.N/2016/2017/0885,9,,,37
6221,,TUMA/KCMUCo/BSC.N/2016/2017/0886,65,,,30
6245,,TUMA/KCMUCo/BSC.N/2016/2017/0887,9,,,42
6415,,TUMA/KCMUCo/BSC.N/2016/2017/0888,65,,,
6617,,TUMA/KCMUCo/BSC.N/2016/2017/0889,65,,,37
6682,,TUMA/KCMUCo/BSC.N/2016/2017/0890,65,,,35
6718,,TUMA/KCMUCo/BSC.N/2016/2017/0891,65,,,43
6759,,TUMA/KCMUCo/BSC.N/2016/2017/0892,65,,,39
6776,,TUMA/KCMUCo/BSC.N/2016/2017/0893,65,,,52
6779,,TUMA/KCMUCo/BSC.N/2016/2017/0894,65,,,38
6863,,TUMA/KCMUCo/BSC.N/2016/2017/0895,65,,,35
6782,,TUMA/KCMUCo/BSC.N/2016/2017/0896,65,,,28
